Display_first_last,birthdate,value,slugSeason,position,pts,ast,reb,pie,season_exp,draft_year,draft_round,draft_number,BMI
Taurean Prince,1994-03-22T00:00:00,1.3e+07,2021-22,Forward,8.3,1.7,3.6,0.076,4,2016,1,12,24.55600064092293
Derrick White,1994-07-02T00:00:00,15678571,2021-22,Guard,12.8,3.4,2.4,0.076,3,2017,1,29,23.125
Kevin Huerter,1998-08-27T00:00:00,4253357,2021-22,Guard-Forward,11.9,3.6,3.7,0.077,2,2018,1,19,21.402018907226406
Damyean Dotson,1994-05-06T00:00:00,2e+06,2021-22,Guard,6.7,2.2,1.9,0.077,3,2017,2,44,24.89964580873672
Isaiah Hartenstein,1998-05-05T00:00:00,1762796,2021-22,Center-Forward,3.5,0.5,2.8,0.077,2,2017,2,43,24.907879818594104
Jake Layman,1994-03-07T00:00:00,3940184,2021-22,Forward,6.1,0.8,1.9,0.077,4,2016,2,47,22.95734375
Svi Mykhailiuk,1997-06-10T00:00:00,2079826,2021-22,Guard-Forward,7,1.6,2.1,0.077,2,2018,2,47,23.091651978849544
Anfernee Simons,1999-06-08T00:00:00,3938818,2021-22,Guard,8,1.4,2.3,0.077,2,2018,1,24,22.620977777777778
Chris Silva,1996-09-19T00:00:00,1782621,2021-22,Forward,2.7,0.5,2.3,0.077,1,Undrafted,Undrafted,Undrafted,25.7034375
Luka Samanic,2000-01-09T00:00:00,2959080,2021-22,Forward,3.8,0.2,2.5,0.077,1,2019,1,19,23.733045806067818
Brook Lopez,1988-04-01T00:00:00,13302325,2021-22,Center,11.4,0.7,5,0.078,12,2008,1,10,28.096088435374153
Buddy Hield,1992-12-17T00:00:00,22768890,2021-22,Guard,16.9,3.3,4.6,0.078,4,2016,1,6,26.77631578947368
Juancho Hernangomez,1995-09-28T00:00:00,7012440,2021-22,Forward,6.2,0.6,4.2,0.079,4,2016,1,15,22.92973632068282
Bogdan Bogdanovic,1992-08-18T00:00:00,1.8e+07,2021-22,Guard,9.6,2.3,3.3,0.08,3,2014,1,27,25.42077580539119
Frank Jackson,1998-05-04T00:00:00,1789256,2021-22,Guard,5.2,0.8,1.4,0.08,2,2017,2,31,25.620444444444445
Terance Mann,1996-10-18T00:00:00,1782621,2021-22,Guard-Forward,5.3,1.2,3.4,0.08,1,2019,2,48,25.492494518468543
Will Barton,1991-01-06T00:00:00,14669642,2021-22,Guard,13,3.2,4.1,0.081,8,2012,2,40,20.914365548980935
Andre Iguodala,1984-01-28T00:00:00,1.5e+07,2021-22,Guard-Forward,4.7,2.1,3.6,0.081,16,2004,1,9,24.843030900723207
Markelle Fultz,1998-05-29T00:00:00,16500000,2021-22,Guard,12.9,5.4,3.1,0.081,3,2017,1,1,26.120355555555555
Bojan Bogdanovic,1989-04-18T00:00:00,18700000,2021-22,Forward,14.9,1.9,3.9,0.081,6,2011,2,31,25.45713827912194
Kris Dunn,1994-03-18T00:00:00,5005350,2021-22,Guard,7.3,3.4,3.6,0.082,4,2016,1,5,25.620444444444445
Maxi Kleber,1992-01-29T00:00:00,8825000,2021-22,Forward,7.8,1.4,5.4,0.082,3,Undrafted,Undrafted,Undrafted,25.09220701963117
John Konchar,1996-03-22T00:00:00,2200000,2021-22,Guard,4,1.1,3.3,0.082,1,Undrafted,Undrafted,Undrafted,24.89964580873672
Pat Connaughton,1993-01-06T00:00:00,5333334,2021-22,Guard,6.9,1.3,4.5,0.082,5,2015,2,41,24.78107606679035
Seth Curry,1990-08-23T00:00:00,8207518,2021-22,Guard,12.9,2.9,2.2,0.082,6,Undrafted,Undrafted,Undrafted,23.75
Dean Wade,1996-11-20T00:00:00,1782621,2021-22,Forward-Center,4.1,0.8,2.3,0.083,1,Undrafted,Undrafted,Undrafted,24.429812528577962
Trey Burke,1992-11-12T00:00:00,3150000,2021-22,Guard,7,1.5,0.9,0.083,7,2013,1,9,25.087770061728396
Joe Harris,1991-09-06T00:00:00,17357143,2021-22,Guard-Forward,14.7,1.8,3.5,0.085,6,2014,2,33,25.42077580539119
Blake Griffin,1989-03-16T00:00:00,29764126,2021-22,Forward,11.6,3.5,5,0.085,10,2009,1,1,26.787075140984605
Josh Jackson,1997-02-10T00:00:00,5005350,2021-22,Guard-Forward,13.2,2.1,4.2,0.085,3,2017,1,4,22.737656249999997
Grayson Allen,1995-10-08T00:00:00,4054695,2021-22,Guard,9.5,2.1,3.1,0.085,2,2018,1,21,24.098684210526315
Rui Hachimura,1998-02-08T00:00:00,4916160,2021-22,Forward,13.4,1.5,5.8,0.085,1,2019,1,9,25.264062499999998
Nicolas Batum,1988-12-14T00:00:00,9043478,2021-22,Guard-Forward,8.6,2.3,4.7,0.086,12,2008,1,25,25.264062499999998
Coby White,2000-02-16T00:00:00,5837760,2021-22,Guard,15.2,4.7,4.6,0.087,1,2019,1,7,23.12109967954124
Dylan Windler,1996-09-22T00:00:00,2239200,2021-22,Guard-Forward,5.4,1.1,3.6,0.087,0,2019,1,26,22.647600262984877
PJ Dozier,1996-10-25T00:00:00,1910860,2021-22,Guard-Forward,7.7,1.6,3.8,0.087,3,Undrafted,Undrafted,Undrafted,23.687541091387246
Luke Kennard,1996-06-24T00:00:00,12727273,2021-22,Guard,8,1.8,2.7,0.087,3,2017,1,12,24.425366840951256
Darius Bazley,2000-06-12T00:00:00,2513040,2021-22,Forward-Guard,11.9,1.5,7.5,0.087,1,2019,1,23,22.8475
Tremont Waters,1998-01-10T00:00:00,1669178,2021-22,Guard,3,2.7,0.7,0.088,1,2019,2,51,25.107142857142854
Miles Bridges,1998-03-21T00:00:00,5421493,2021-22,Forward,9.6,2,5.6,0.088,2,2018,1,12,25.99852071005917
Jae Crowder,1990-07-06T00:00:00,9720900,2021-22,Forward,10.1,2,5,0.088,8,2012,2,34,27.154010519395133
Jarrell Brantley,1996-06-07T00:00:00,1669178,2021-22,Forward,0.9,0.1,0.6,0.088,1,2019,2,50,29.642435486591328
Monte Morris,1995-06-27T00:00:00,8449074,2021-22,Guard,10.4,3.4,2.2,0.089,3,2017,2,51,23.493243243243242
Drew Eubanks,1997-02-01T00:00:00,1762796,2021-22,Forward-Center,4.6,0.9,3.2,0.089,2,Undrafted,Undrafted,Undrafted,26.251333638164912
Marcus Smart,1994-03-06T00:00:00,14339285,2021-22,Guard,12.8,5.4,2.8,0.09,6,2014,1,6,27.49511111111111
Devonte' Graham,1995-02-22T00:00:00,4736102,2021-22,Guard,13.1,5.2,2.7,0.09,2,2018,2,34,25.724338525051607
Darius Garland,2000-01-26T00:00:00,7040880,2021-22,Guard,16.4,5.8,2.2,0.09,1,2019,1,5,25.328579470820042
Kendrick Nunn,1995-08-03T00:00:00,4736102,2021-22,Guard,13.3,2.6,3.2,0.09,1,Undrafted,Undrafted,Undrafted,24.39189189189189
Jaylen Nowell,1999-07-09T00:00:00,1782621,2021-22,Guard,10.5,1.4,2.2,0.09,1,2019,2,43,24.463815789473685
Cameron Johnson,1996-03-03T00:00:00,4437000,2021-22,Forward,10.3,1.4,3.3,0.09,1,2019,1,11,23.0671875
Cody Martin,1995-09-28T00:00:00,1782621,2021-22,Forward,3.8,1.2,2.4,0.091,1,2019,2,36,24.306797099004893
Ty Jerome,1997-07-08T00:00:00,2412840,2021-22,Guard-Forward,9.9,3.6,3.5,0.091,1,2019,1,24,23.12109967954124
Rodney McGruder,1991-07-29T00:00:00,5e+06,2021-22,Guard,5.6,1,1.4,0.092,4,Undrafted,Undrafted,Undrafted,24.950657894736842
Terrence Ross,1991-02-05T00:00:00,12500000,2021-22,Guard-Forward,16,2.3,3.5,0.092,8,2012,1,8,23.80309007232084
OG Anunoby,1997-07-17T00:00:00,16071429,2021-22,Forward,14,1.6,5.7,0.092,3,2017,1,23,26.13299150777119
Malik Monk,1998-02-04T00:00:00,7318246,2021-22,Guard,12.3,1.8,2.7,0.093,3,2017,1,11,24.995555555555555
Kevon Looney,1996-02-06T00:00:00,5178572,2021-22,Forward,3.9,1.6,4.2,0.093,5,2015,1,30,23.78692272519433
Steven Adams,1993-07-20T00:00:00,17073171,2021-22,Center,8.1,2,9.2,0.093,7,2013,1,12,27.04238641312237
Tacko Fall,1995-12-10T00:00:00,1669178,2021-22,Center,2.9,0.2,2.4,0.094,1,Undrafted,Undrafted,Undrafted,27.60169170559273
Myles Turner,1996-03-24T00:00:00,1.8e+07,2021-22,Center-Forward,13.2,1,6.5,0.094,5,2015,1,11,25.511685295398465
Chris Chiozza,1995-11-21T00:00:00,1729217,2021-22,Guard,3.5,2.4,1.1,0.095,2,Undrafted,Undrafted,Undrafted,24.404879984130133
JaMychal Green,1990-06-21T00:00:00,7559748,2021-22,Forward-Center,8.7,0.8,5.5,0.095,6,Undrafted,Undrafted,Undrafted,24.93453125
Andrew Wiggins,1995-02-23T00:00:00,31579390,2021-22,Forward,17.7,2.1,4.6,0.095,6,2014,1,1,22.190514340650537
Damion Lee,1992-10-21T00:00:00,1910860,2021-22,Guard-Forward,6.7,1.4,3.3,0.095,3,Undrafted,Undrafted,Undrafted,24.89964580873672
Rajon Rondo,1986-02-22T00:00:00,8250000,2021-22,Guard,3.9,3.5,2,0.095,14,2006,1,21,23.74554325389379
Isaiah Roby,1998-02-03T00:00:00,1782621,2021-22,Forward,9,1.7,5.5,0.095,1,2019,2,45,25.264062499999998
Marvin Bagley III,1999-03-14T00:00:00,11312114,2021-22,Forward,13.9,0.9,7.4,0.095,2,2018,1,2,23.980984177674554
Draymond Green,1990-03-04T00:00:00,24026712,2021-22,Forward,6.1,8.4,6.6,0.097,8,2012,2,35,26.576265614727156
Eric Paschall,1996-11-04T00:00:00,1782621,2021-22,Forward,9.5,1.3,3.2,0.097,1,2019,2,41,29.464990138067062
Eric Gordon,1988-12-25T00:00:00,18218818,2021-22,Guard,17.8,2.6,2.1,0.097,12,2008,1,7,26.87022222222222
Josh Hart,1995-03-06T00:00:00,5236739,2021-22,Guard,9.1,2.2,7.6,0.097,3,2017,1,30,25.492494518468543
Kenrich Williams,1994-12-02T00:00:00,2e+06,2021-22,Guard-Forward,7,1.8,4.1,0.098,2,Undrafted,Undrafted,Undrafted,24.26528599605523
Shake Milton,1996-09-26T00:00:00,1846738,2021-22,Guard-Forward,13.8,3.1,2.3,0.098,2,2018,2,54,24.306797099004893
Tyler Herro,2000-01-20T00:00:00,4004280,2021-22,Guard,15.1,3.4,5.4,0.099,1,2019,1,13,23.12109967954124
Jordan McLaughlin,1996-04-09T00:00:00,1669178,2021-22,Guard,5.4,4.7,2.3,0.099,1,Undrafted,Undrafted,Undrafted,25.799444554651853
Lonzo Ball,1997-10-27T00:00:00,14359936,2021-22,Guard,14.2,5.6,4.2,0.099,3,2017,1,2,21.9543063773833
Jakob Poeltl,1995-10-15T00:00:00,8750000,2021-22,Center,7.1,1.8,7.8,0.099,4,2016,1,9,23.838754325259515
Daniel Gafford,1998-10-01T00:00:00,1782621,2021-22,Forward-Center,4.8,0.6,3.3,0.099,1,2019,2,38,24.464901844140392
Jahlil Okafor,1995-12-15T00:00:00,2130023,2021-22,Center-Forward,4.3,0.3,2.3,0.1,5,2015,1,3,28.228732897085067
Kyle Kuzma,1995-07-24T00:00:00,1.3e+07,2021-22,Forward,12.1,1.5,6.7,0.1,3,2017,1,27,23.10574063057704
Dario Saric,1994-04-08T00:00:00,8510000,2021-22,Forward-Center,10.3,1.3,4.2,0.1,4,2014,1,12,23.523944080904226
Keldon Johnson,1999-10-11T00:00:00,2145720,2021-22,Forward-Guard,13.9,2,6.5,0.1,1,2019,1,29,26.085343228200372
Ricky Rubio,1990-10-21T00:00:00,17800000,2021-22,Guard,8.8,6.8,3.2,0.101,9,2009,1,5,23.745777777777775
RJ Barrett,2000-06-14T00:00:00,8623920,2021-22,Forward-Guard,17.3,3,6.1,0.101,1,2019,1,3,24.727481919789614
George Hill,1986-05-04T00:00:00,10047297,2021-22,Guard,11.8,3.1,2.1,0.101,12,2008,1,26,22.88157894736842
Spencer Dinwiddie,1993-04-06T00:00:00,12302496,2021-22,Guard,6.7,3,4.3,0.102,6,2014,2,38,25.492494518468543
Tomas Satoransky,1991-10-30T00:00:00,1e+07,2021-22,Guard,7.5,4.8,2.5,0.102,4,2012,2,32,23.65486300272392
Goran Dragic,1986-05-06T00:00:00,19440000,2021-22,Guard,13.9,4.9,3.3,0.102,12,2008,2,45,23.745777777777775
Hamidou Diallo,1998-07-31T00:00:00,2079826,2021-22,Guard,11.9,2.4,5.2,0.103,2,2018,2,45,23.951087873165797
Klay Thompson,1990-02-08T00:00:00,37980720,2021-22,Guard,21.5,2.4,3.8,0.103,8,2011,1,11,24.843030900723207
Alfonzo McKinnie,1992-09-17T00:00:00,1910860,2021-22,Forward,2.5,0.1,1.1,0.103,3,Undrafted,Undrafted,Undrafted,24.218074026598305
Jusuf Nurkic,1994-08-23T00:00:00,1.2e+07,2021-22,Center,9.8,2.8,7.7,0.103,6,2014,1,16,29.593554942662212
Jeremy Lamb,1992-05-30T00:00:00,10500000,2021-22,Guard-Forward,11.1,1.6,3.6,0.104,8,2012,1,12,21.34255355034576
D'Angelo Russell,1996-02-23T00:00:00,30013500,2021-22,Guard,19.3,5.1,2.6,0.104,5,2015,1,2,23.49013157894737
Mitchell Robinson,1998-04-01T00:00:00,1802057,2021-22,Center-Forward,8.6,0.6,8.4,0.104,2,2018,2,36,23.911564625850342
Mikal Bridges,1996-08-30T00:00:00,5557725,2021-22,Forward,13.7,2.4,4.9,0.104,2,2018,1,10,24.14973701512163
Jaxson Hayes,2000-05-23T00:00:00,5348280,2021-22,Center-Forward,5.5,0.5,3.5,0.105,1,2019,1,8,22.450283059950646
Tristan Thompson,1991-03-13T00:00:00,9720900,2021-22,Center-Forward,7.9,1,8.4,0.106,9,2011,1,4,27.21566834324036
Norman Powell,1993-05-25T00:00:00,11615328,2021-22,Guard,19.5,1.8,3,0.106,5,2015,2,46,26.87022222222222
Jarred Vanderbilt,1999-04-03T00:00:00,2079826,2021-22,Forward,5.6,1.4,5.6,0.107,2,2018,2,41,22.92973632068282
DeAndre Jordan,1988-07-21T00:00:00,9881598,2021-22,Center,7.6,1.7,7.5,0.108,12,2008,2,35,27.04238641312237
Jonathan Isaac,1997-10-03T00:00:00,17400000,2021-22,Forward,11.9,1.4,6.8,0.108,3,2017,1,6,23.470750471766582
Malik Beasley,1996-11-26T00:00:00,14491964,2021-22,Guard,20.5,2.5,4.6,0.109,4,2016,1,19,22.759868421052634
Danilo Gallinari,1988-08-08T00:00:00,20475000,2021-22,Forward,12.8,1.5,3.9,0.11,11,2008,1,6,24.360350981558593
Aaron Gordon,1995-09-16T00:00:00,16409091,2021-22,Forward,14.6,4.3,6.6,0.11,6,2014,1,4,25.81328125
Brandon Clarke,1996-09-19T00:00:00,2726880,2021-22,Forward,11.8,1.5,5.5,0.11,1,2019,1,21,23.61640625
Harrison Barnes,1992-05-30T00:00:00,20284091,2021-22,Forward,16.3,3.7,6.5,0.111,8,2012,1,7,24.71484375
Derrick Favors,1991-07-15T00:00:00,9720900,2021-22,Forward,5.9,0.9,5.3,0.111,10,2010,1,3,28.39429964944368
Thomas Bryant,1997-07-31T00:00:00,8666667,2021-22,Center-Forward,14.3,1.5,6.1,0.111,3,2017,2,42,25.928613920285542
Terry Rozier,1994-03-17T00:00:00,17905263,2021-22,Guard,20.2,3.3,3.8,0.112,5,2015,1,16,25.064740101332333
Lauri Markkanen,1997-05-22T00:00:00,9026852,2021-22,Forward-Center,17.7,0.9,6,0.112,3,2017,1,7,23.911564625850342
Collin Sexton,1999-01-04T00:00:00,6349671,2021-22,Guard,24,4.3,2.8,0.112,2,2018,1,8,25.064740101332333
Serge Ibaka,1989-09-18T00:00:00,9720900,2021-22,Forward,10.9,1.7,6.7,0.112,11,2008,1,24,24.56945270672219
Naz Reid,1999-08-26T00:00:00,1782621,2021-22,Center-Forward,11.4,1.2,4.6,0.113,1,Undrafted,Undrafted,Undrafted,28.287151348879746
De'Andre Hunter,1997-12-02T00:00:00,7775400,2021-22,Forward-Guard,16.7,2.2,5.2,0.114,1,2019,1,4,24.71484375
Kemba Walker,1990-05-08T00:00:00,36016200,2021-22,Guard,17.7,4.6,3.6,0.114,9,2011,1,9,24.952160493827158
Ja Morant,1999-08-10T00:00:00,9603360,2021-22,Guard,19.3,7.5,3.3,0.114,1,2019,1,2,21.746133333333333
Tyus Jones,1996-05-10T00:00:00,8376286,2021-22,Guard,7.5,4.3,2.2,0.114,5,2015,1,24,26.579475308641975
Jamal Murray,1997-02-23T00:00:00,29467800,2021-22,Guard,21.1,4.8,4,0.115,4,2016,1,7,26.87022222222222
